Index,Survey ID,Eater Type,"Motivation
Animal Protection","Motivation
Concern for the Environment","Motivation
Cost","Motivation
Health","Motivation
Religious or Spiritual Beliefs","Motivation
Social influence (from friends, family, significant other, etc.)","Motivation
Social justice or world hunger","Motivation
Taste preferences","Motivation
Wanting to follow a food trend","Motivation
Feelings of disgust about meat",Age Transitioned to Veg'nism,Gender,State,Education,Political,Race/Ethnicity,Religion
690,6086,Omnivore,,,,,,,,,,,,Male,Montana,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
691,6089,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
692,6091,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Moderately Conservative,White,Jewish
693,6108,Vegan,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,26,Female,Connecticut,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
694,6127,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
695,6130,Omnivore,,,,,,,,,,,,Male,Indiana,Bachelor’s degree,Moderately Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
696,6136,Omnivore,,,,,,,,,,,,Male,Hawaii,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
697,6150,Omnivore,,,,,,,,,,,,Female,New Mexico,Bachelor’s degree,Neutral/Centrist,White,Jewish
698,6151,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
699,6175,Omnivore,,,,,,,,,,,,Male,Iowa,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
700,6176,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
701,6177,Omnivore,,,,,,,,,,,,Female,Indiana,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
702,6188,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
703,6198,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
704,6211,Omnivore,,,,,,,,,,,,Male,Utah,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
705,6213,Omnivore,,,,,,,,,,,,Female,Maine,High school diploma (or equivalent),Strongly Conservative,White,Do not actively practice a religion
706,6220,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
707,6236,Omnivore,,,,,,,,,,,,Female,Puerto Rico,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
708,6240,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
709,6252,Omnivore,,,,,,,,,,,,Male,Washington,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
710,6253,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
711,6254,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
712,6259,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Strongly Conservative,White,Jewish
713,6261,Omnivore,,,,,,,,,,,,Female,New Hampshire,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
714,6263,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
715,6266,Omnivore,,,,,,,,,,,,Female,North Carolina,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
716,6269,Omnivore,,,,,,,,,,,,Female,Oregon,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
717,6284,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Bachelor’s degree,Strongly Liberal,White,Other religion (including two or more)
718,6286,Omnivore,,,,,,,,,,,,Female,Michigan,"Less than 12th grade, no diploma",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
719,6299,Vegetarian,Somewhat,Strong,Somewhat,Very Strong,Not at All,Strong,Strong,Strong,Somewhat,Strong,32,Male,Hawaii,"Some education after high school, no degree",Moderately Conservative,White,Do not actively practice a religion
720,6300,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
721,6301,Omnivore,,,,,,,,,,,,Female,Tennessee,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
722,6304,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
723,6308,Omnivore,,,,,,,,,,,,Female,Texas,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
724,6318,Omnivore,,,,,,,,,,,,Female,North Dakota,High school diploma (or equivalent),Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
725,6327,Omnivore,,,,,,,,,,,,Female,New Mexico,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
726,6328,Omnivore,,,,,,,,,,,,Female,Nebraska,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
727,6330,Omnivore,,,,,,,,,,,,Female,Oregon,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
728,6331,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
729,6343,Omnivore,,,,,,,,,,,,Female,Michigan,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
730,6347,Vegan,Strong,Somewhat,Not at All,Mild,Not at All,Somewhat,Not at All,Not at All,Not at All,Strong,40,Female,North Dakota,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
731,6354,Omnivore,,,,,,,,,,,,Female,Tennessee,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
732,6355,Vegan,Very Strong,Strong,Very Strong,Very Strong,Strong,Not at All,Very Strong,Very Strong,Mild,Very Strong,61,Female,Pennsylvania,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
733,6356,Vegan,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,40,Female,Texas,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
734,6359,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
735,6380,Omnivore,,,,,,,,,,,,Male,Hawaii,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
736,6402,Omnivore,,,,,,,,,,,,Female,Tennessee,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
738,6417,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,47,Female,North Carolina,Graduate or professional degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Buddhist
740,6443,Omnivore,,,,,,,,,,,,Male,Delaware,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
741,6444,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
742,6472,Omnivore,,,,,,,,,,,,Female,South Dakota,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
743,6481,Omnivore,,,,,,,,,,,,Female,South Carolina,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
744,6493,Omnivore,,,,,,,,,,,,Male,Utah,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
745,6496,Omnivore,,,,,,,,,,,,Female,Georgia,Associate’s degree,Strongly Liberal,White,Buddhist
746,6510,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
747,6515,Omnivore,,,,,,,,,,,,Female,New Jersey,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
748,6527,Omnivore,,,,,,,,,,,,Male,Louisiana,Associate’s degree,Neutral/Centrist,White,Other religion (including two or more)
749,6533,Omnivore,,,,,,,,,,,,Male,Arizona,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
750,6535,Omnivore,,,,,,,,,,,,Female,Massachusetts,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
751,6565,Omnivore,,,,,,,,,,,,Female,Washington,"Some education after high school, no degree",Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Hindu
752,6570,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
754,6579,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Strongly Liberal,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
755,6593,Omnivore,,,,,,,,,,,,Male,Montana,"Some education after high school, no degree",Moderately Conservative,White,Do not actively practice a religion
756,6603,Omnivore,,,,,,,,,,,,Male,Colorado,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
757,6606,Omnivore,,,,,,,,,,,,Female,Montana,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
758,6619,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,24,Female,North Dakota,Bachelor’s degree,Neutral/Centrist,White,Other religion (including two or more)
759,6629,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
760,6657,Omnivore,,,,,,,,,,,,Female,Texas,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
761,6697,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,23,Female,Puerto Rico,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
762,6710,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
763,6737,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
764,6739,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
765,6750,Omnivore,,,,,,,,,,,,Female,Pennsylvania,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
766,6754,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Strongly Liberal,White,Other religion (including two or more)
767,6760,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,19,Female,New Mexico,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
768,6765,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
769,6771,Omnivore,,,,,,,,,,,,Male,Indiana,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
770,6796,Omnivore,,,,,,,,,,,,Female,Oklahoma,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
771,6799,Omnivore,,,,,,,,,,,,Male,Minnesota,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
772,6814,Omnivore,,,,,,,,,,,,Male,New York,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
773,6824,Omnivore,,,,,,,,,,,,Female,Colorado,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
774,6830,Omnivore,,,,,,,,,,,,Male,Oklahoma,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
775,6831,Omnivore,,,,,,,,,,,,Female,Kansas,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
776,6833,Omnivore,,,,,,,,,,,,Male,Indiana,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
777,6835,Omnivore,,,,,,,,,,,,Female,Montana,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
778,6843,Omnivore,,,,,,,,,,,,Female,South Carolina,Bachelor’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
779,6849,Omnivore,,,,,,,,,,,,Male,Montana,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
780,6852,Omnivore,,,,,,,,,,,,Male,Oklahoma,Bachelor’s degree,Neutral/Centrist,White,Jewish
781,6857,Omnivore,,,,,,,,,,,,Male,Georgia,High school diploma (or equivalent),Strongly Liberal,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
782,6864,Omnivore,,,,,,,,,,,,Male,Hawaii,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
783,6867,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Buddhist
784,6869,Omnivore,,,,,,,,,,,,Male,Wyoming,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
785,6882,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
786,6883,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
787,6907,Omnivore,,,,,,,,,,,,Male,Oregon,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
788,6920,Omnivore,,,,,,,,,,,,Female,Indiana,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
789,6924,Vegan,Very Strong,Somewhat,Not at All,Not at All,Strong,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,30,Male,South Carolina,High school diploma (or equivalent),Strongly Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
790,6956,Omnivore,,,,,,,,,,,,Female,Montana,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
791,6959,Omnivore,,,,,,,,,,,,Female,Michigan,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
792,6967,Omnivore,,,,,,,,,,,,Male,New Mexico,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
793,6971,Omnivore,,,,,,,,,,,,Male,North Carolina,"Less than 12th grade, no diploma",Moderately Liberal,White,Do not actively practice a religion
794,6976,Omnivore,,,,,,,,,,,,Female,Kansas,High school diploma (or equivalent),Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
795,6977,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
797,6994,Vegetarian,Very Strong,Not at All,Not at All,Somewhat,Not at All,Not at All,Not at All,Very Strong,Not at All,Very Strong,35,Female,Iowa,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
798,7002,Omnivore,,,,,,,,,,,,Female,West Virginia,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
799,7004,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
800,7022,Omnivore,,,,,,,,,,,,Male,Texas,Associate’s degree,Neutral/Centrist,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
801,7025,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,13,Female,Hawaii,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
802,7033,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
803,7043,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
804,7070,Omnivore,,,,,,,,,,,,Female,Hawaii,Bachelor’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
805,7078,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Strongly Conservative,White,Do not actively practice a religion
807,7100,Omnivore,,,,,,,,,,,,Male,North Carolina,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
808,7101,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
809,7103,Vegetarian,Mild,Not at All,Not at All,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,20,Female,Texas,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
810,7124,Omnivore,,,,,,,,,,,,Female,Arizona,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
811,7129,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,19,Female,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
812,7145,Omnivore,,,,,,,,,,,,Male,Iowa,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
813,7146,Omnivore,,,,,,,,,,,,Male,Texas,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
814,7149,Omnivore,,,,,,,,,,,,Male,Hawaii,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
815,7154,Omnivore,,,,,,,,,,,,Female,Oregon,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
816,7167,Omnivore,,,,,,,,,,,,Female,Hawaii,Graduate or professional degree,Moderately Liberal,Indian,Hindu
817,7169,Omnivore,,,,,,,,,,,,Female,North Carolina,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
818,7188,Omnivore,,,,,,,,,,,,Female,Alabama,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
819,7198,Omnivore,,,,,,,,,,,,Female,Louisiana,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
820,7204,Omnivore,,,,,,,,,,,,Female,Maine,Associate’s degree,Moderately Conservative,African American or Black,"Christian (Catholic, Protestant, etc.)"
821,7205,Omnivore,,,,,,,,,,,,Female,Tennessee,Bachelor’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
822,7211,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
824,7224,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
826,7256,Omnivore,,,,,,,,,,,,Male,Texas,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
827,7261,Omnivore,,,,,,,,,,,,Female,North Dakota,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
828,7267,Omnivore,,,,,,,,,,,,Male,Idaho,Bachelor’s degree,Strongly Liberal,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
830,7283,Omnivore,,,,,,,,,,,,Male,Iowa,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
831,7285,Omnivore,,,,,,,,,,,,Male,Michigan,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
832,7286,Vegetarian,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,Not at All,Mild,Not at All,Not at All,50,Female,Massachusetts,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
833,7308,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Neutral/Centrist,African American or Black,Do not actively practice a religion
835,7336,Omnivore,,,,,,,,,,,,Male,Minnesota,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
836,7348,Vegetarian,Not at All,Not at All,Mild,Somewhat,Very Strong,Strong,Not at All,Not at All,Not at All,Not at All,22,Male,Michigan,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
837,7352,Omnivore,,,,,,,,,,,,Male,Minnesota,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
838,7353,Omnivore,,,,,,,,,,,,Female,Oklahoma,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
839,7366,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
840,7379,Omnivore,,,,,,,,,,,,Female,Minnesota,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
841,7402,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
842,7408,Omnivore,,,,,,,,,,,,Male,Louisiana,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
843,7429,Omnivore,,,,,,,,,,,,Female,Hawaii,Associate’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
844,7445,Omnivore,,,,,,,,,,,,Male,Georgia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
845,7450,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
846,7455,Omnivore,,,,,,,,,,,,Male,Hawaii,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
847,7457,Omnivore,,,,,,,,,,,,Male,Georgia,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
848,7465,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
849,7475,Omnivore,,,,,,,,,,,,Male,Alabama,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
850,7478,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
851,7482,Omnivore,,,,,,,,,,,,Male,Kentucky,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
852,7490,Omnivore,,,,,,,,,,,,Male,Arizona,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
853,7492,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,16,Female,Georgia,Bachelor’s degree,Moderately Liberal,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
854,7520,Omnivore,,,,,,,,,,,,Female,New Hampshire,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
855,7524,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,53,Male,Utah,Graduate or professional degree,Moderately Liberal,Middle Eastern,Do not actively practice a religion
856,7591,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,30,Female,Alabama,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
857,7610,Omnivore,,,,,,,,,,,,Female,Massachusetts,High school diploma (or equivalent),Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
858,7616,Omnivore,,,,,,,,,,,,Female,West Virginia,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
859,7618,Omnivore,,,,,,,,,,,,Female,Colorado,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
860,7620,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
861,7625,Omnivore,,,,,,,,,,,,Female,North Carolina,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
862,7632,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
863,7641,Omnivore,,,,,,,,,,,,Male,Massachusetts,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
864,7655,Omnivore,,,,,,,,,,,,Male,Oklahoma,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
865,7661,Omnivore,,,,,,,,,,,,Female,Texas,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
866,7662,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
867,7671,Omnivore,,,,,,,,,,,,Female,California,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
868,7672,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
869,7680,Omnivore,,,,,,,,,,,,Female,Texas,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
870,7682,Omnivore,,,,,,,,,,,,Female,California,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
871,7685,Omnivore,,,,,,,,,,,,Other,California,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Other religion (including two or more)
872,7689,Omnivore,,,,,,,,,,,,Male,Iowa,Bachelor’s degree,Neutral/Centrist,Indian,"Christian (Catholic, Protestant, etc.)"
873,7698,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
874,7701,Omnivore,,,,,,,,,,,,Female,Washington,High school diploma (or equivalent),Moderately Liberal,White,Do not actively practice a religion
875,7716,Omnivore,,,,,,,,,,,,Male,Iowa,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
876,7724,Omnivore,,,,,,,,,,,,Female,Mississippi,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
877,7736,Omnivore,,,,,,,,,,,,Male,Oklahoma,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
878,7741,Omnivore,,,,,,,,,,,,Female,Montana,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
879,7745,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
880,7755,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Strongly Liberal,White,Jewish
882,7790,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
883,7792,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,27,Male,New Mexico,Bachelor’s degree,Neutral/Centrist,Other race/ethnicity (including two or more),Do not actively practice a religion
884,7799,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,21,Female,Massachusetts,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
885,7804,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,37,Female,Rhode Island,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
